conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:26_conv:52,1,afraid,Two years ago_comma_ i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately_comma_ i am live,37,I felt afraid. Still i remember it,4|3|3_5|4|3,
hit:26_conv:52,2,afraid,Two years ago_comma_ i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately_comma_ i am live,11,What were you afraid of? ,4|3|3_5|4|3,
hit:26_conv:52,3,afraid,Two years ago_comma_ i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately_comma_ i am live,37,Two years ago_comma_ i was admitted in hospital. I was ill,4|3|3_5|4|3,
hit:26_conv:52,4,afraid,Two years ago_comma_ i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately_comma_ i am live,11,Oh No_comma_ well glad to see you are here still! ,4|3|3_5|4|3,
hit:26_conv:52,5,afraid,Two years ago_comma_ i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately_comma_ i am live,37,Luckily,4|3|3_5|4|3,<UNIGRAM>
hit:66_conv:132,1,afraid,I went to the optometrist_comma_ and my prescription got strong. She warned me about being at risk for losing my vision.,1,I went to the optometrist_comma_ and my prescription got strong. She warned me about being at risk for losing my vision.,5|5|5_5|5|5,
hit:66_conv:132,2,afraid,I went to the optometrist_comma_ and my prescription got strong. She warned me about being at risk for losing my vision.,40,That's not good. I know my eyes hurt when staring at the bright white screen on computers . So I change them to a darker color when possible.,5|5|5_5|5|5,
hit:66_conv:132,3,afraid,I went to the optometrist_comma_ and my prescription got strong. She warned me about being at risk for losing my vision.,1,Oh yes. That is smart. After the warning_comma_ I use the screen dimming program called f.lux.,5|5|5_5|5|5,
hit:66_conv:132,4,afraid,I went to the optometrist_comma_ and my prescription got strong. She warned me about being at risk for losing my vision.,40,Haven't tried that yet_comma_ but I have heard of it. I will check it out. thanks !,5|5|5_5|5|5,
hit:88_conv:176,1,afraid,I think my job will lay us off. ,11,I think our job might be laying us off. ,5|5|5_3|4|5,
hit:88_conv:176,2,afraid,I think my job will lay us off. ,46,O No! Are they going to offer you any kind of package?,5|5|5_3|4|5,
hit:88_conv:176,3,afraid,I think my job will lay us off. ,11,Doubtful honestly.. they dont seem to care very much. :/,5|5|5_3|4|5,
hit:88_conv:176,4,afraid,I think my job will lay us off. ,46,Im sorry to hear that. Maybe you should contact your HR and see what your options are,5|5|5_3|4|5,
hit:477_conv:954,1,afraid,One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.,55,Man_comma_ one time I got wayyy too drunk and it was not a good time.,4|3|3_5|5|5,
hit:477_conv:954,2,afraid,One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.,170,Oh yeah? What happened that day?,4|3|3_5|5|5,
hit:477_conv:954,3,afraid,One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.,55,It was one of the first times I drank and I felt awful and thought I was basically gonna die.,4|3|3_5|5|5,
hit:477_conv:954,4,afraid,One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.,170,Oh no! I hope everything turned out well at the end of it!,4|3|3_5|5|5,
hit:478_conv:956,1,afraid,when i was going for an interview i was so afraid as i could not tell the end results,171,it was just yesterday when i was going for an interview and personally i was so afraid because i did not know what were the end results,3|4|5_4|4|3,
