context,prompt
afraid,"I have to go rescue a dog from a violent household. This place has a bad history and the cops are always there. This might not end well, but I'll work for it to be fine for the dog's sake."
afraid,I was scared when I saw a mountain lion at night right in front of me. I ran to my tent.
afraid,"Anytime I see a bear, I run the other way."
afraid,my health isn't good i'm scared to go see the doctor
afraid,I had to walk through a shady part of town.
afraid,"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it."
afraid,I have to have an important medical test.
afraid,When my house burned down. I had to save my mother.
afraid,I REALLY THINK WE SHOULD BE THIS DEEP IN THE WOODS.
afraid,there have been many instances of attempted abduction in my area. i hate when my wife and son are out without me
afraid,"I am Junior Manager and one night I have to stay at office for whole night as I was having excessive work that day. So, everyone in the office left and I was all alone in the office. There was pin drop silence there and even I can hear the ticking of the clock. Even a single noise scared me that time."
afraid,I felt a bit terrified when i was hit by a drunk driver last year but i am very grateful to be alive to today
afraid,A spider dropped down in from of me while driving once. I almost lost it.
afraid,I was walking down the sidewalk at night. I thought I saw the same car following me from a distance
afraid,I was so scared to go into my apartment building at night. So many roaches!
afraid,"I was walking home alone from a friend's house, and it was really dark. When I get close to my home, I see a figure moving behind me. I freaked out, but it was just my shadow."
afraid,Watched scary video late at night
afraid,"I'm scared of the dark, but I have to walk home from work in the dark. It is really nerve wraking."
afraid,I saw the biggest spider in my life near my bed this morning. I've been scared of seeing another one all day...
afraid,"Lately, my two year old boy has been so much into wearing dresses and playing with babie dolls,i don't even want to think of it."
afraid,"There's this tree outside of my apartment, and the way it's illuminated it looks like the silouette of a person, which startles me sometimes."
afraid,"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride."
afraid,I don't think I' going to like this semester. I didnt get any of the classes I want
afraid,I was cleaning out my basement and a giant rat jumped out at me. I nearly jumped out of my skin. It ran away and now I can't find it anywhere!
afraid,Our home was broken in to 2 months after we purchased it.
afraid,I heard a noise im my garage and was concerned since it was late at night
afraid,I saw a mouse in my kitchen this morning.... scary little animal
afraid,I saw where someone escaped the local jail and is on the loose. It has me on edge.
afraid,"My friends took me to a club for the first time a few nights ago. I've never been, obviously, so it made me nervous and scared"
afraid,One time I saw a ghost in my living room. I was absolutely terrified.
afraid,I woke up the other day to REALLY loud knocking at my apartment door. I don't know who it was because I didn't answer the door.
afraid,"Last week, when I was going to the office, I stopped by a cafe to get a coffee. There I saw a young man watching angrily at me. He even has a gun in his hands. I was very much frightened."
afraid,I was scared when i had t go home alone the other day
afraid,Our home was broken into shortly after we moved in. I am still scared about what happened.
afraid,The power went off for a few minutes last night. The noise it made was pretty scary
afraid,MY son likes to hit his head on things when he is upset. I think he might realy hurt himself
afraid,I hate wasps so much. They always seem to get into my apartment somehow and I turned into a little girl!
afraid,afraid that my daughter will be bullied
afraid,"I keep hearing noises coming from the basement. I want to go check it out, but I'm somewhat afraid."
afraid,I'm scared to move
afraid,I hate hate hate riding on trains!
afraid,I'm afraid to leave my current job (which I hate) because I might not be able to find work that I enjoy that pays well enough to live on.
afraid,I'm afraid of what the future has in store with overpopulation and unemployment.
afraid,I forgot to make my student loan payment this month. I'm scared it will affect my credit score.
afraid,I think I'm getting new neighbors. I'm scared they will be jerk like the last ones
afraid,"After been beaten by a mosquito last night, I am very scared of sleeping in my room"
afraid,One time someone came to my door with a gun. He robbed my house
afraid,I went to the movies recently and saw the most scary movie ever. I couldn't sleep!
afraid,one day for that time my sister marriage to vey afraid.
afraid,"I remember back when I was younger my parents and I had rooms right next to each other. One year my parents decided to finish their basement and make it a master suite for themselves. I thought it would be great! I was so wrong. I was terrified for many months to sleep ""by myself"" and ended up sleeping on a couch in the basement."
afraid,Once I was super afraid b/c there was this guys following me and my mom at this grocery store. I wasn't sure what to do about the situation so I told the manager at the store and he had someone walk me and my mom out to my car so we would be safe.
afraid,"When a tornado warning came on the screen, I was scared. I thought it was coming for us"
afraid,A car was following me as I was walking home. I was so scared.
afraid,I went to Cuba to visit some family members and met up with some friends to go to a bar. It was like 3 AM when we were walking back home and there were these guys hiding in the shadows looking at us. We ended up running very fast but they never followed thankfully.
afraid,One time a hurricane hit my city and it was so windy I couldn't sleep that night. I thought the wind would tear the roof off of the house
afraid,I got new neighbors and I don't think they are too nice. I don't want to speak to them
afraid,I owe some guys some money after playing a poker game. They know where I live and I see them driving by late at night.
afraid,I am rewatching game of throne. I always get scared when there are white walkers
afraid,"i have to take a business trip next week, I 'm not looking forward to flying"
afraid,I feel a bit scared sometimes living alone in a rough neighborhood. I have dogs..but I don't have a weapond.
afraid,I heard a loud sounds from downstairs.
afraid,"When our home was broken into, right after we moved in."
afraid,I always have this feeling that someone or something is always behind me.
afraid,Our electric went out for the whole night. It was so dark and scary.
afraid,"This is going to sound silly, but yesterday I realized when I went to change a diaper that I could not find a single baby wipe in the house. I didn't know what to do and did not have a car until my fiance gets home from work later that night. I was scared I wouldn't have a way to like.. change diapers!"
afraid,When I was a child I was in a destructive tornado.
afraid,"I am sometime to afraid to speak in public, for example, during meeting at work."
afraid,i was scared being home alone last night
afraid,"I got an phone call from someone I used to know. It was threatening in nature, and I am scared."
afraid,playing silent hill one
afraid,last night I heard a windows shatter in my house and i was home alone.
afraid,I was scared of the spider in my bathroom.
afraid,I think my husband is cheating. I'm afraid to find out though.
afraid,"I was out walking down the street at night, it was scary and dark and I felt like I was surrounded by unnatural beings."
afraid,I am worried I will not be able to go to my fathers birthday party.
afraid,i was scared walking home alone last week
afraid,I was driving home from work late at night and noticed a car following me. They made every turn that I did. I was all alone and this was before cell phones.
afraid,I do not like to be in the woods at night. The coyotes make scary noises!
afraid,"Right after I had my baby, my husband was working second shift so he didn't get home until 2am. I was changing the baby's diaper and the changing table was right in front of a window. The front porch is right in front of that window. As I'm changing her diaper, I hear people running up and down the porch and banging on the walls. After that, I changed her diaper in the living room until my husband got home. I'm glad all the doors and windows were locked."
afraid,when a dog was running at me in the dark
afraid,The other day I was walking in the bushes alone and I was scared when I heard noise behind some bushes.
afraid,I am really not liking Mondays.
afraid,the braves are really good. i just dont know if we have the pitching to make a run
afraid,I found a copperhead in my backyard.
afraid,I woke up in the middle of the night because I thought someone was trying to get in my window.
afraid,I haven't seen a horror movie in so long. I don't know if I can take watching one this weekend with my friends.
afraid,when my job fired me during maternity leave
afraid,I have a big test next week and I am super nervous.
afraid,I was out in the woods naked.
afraid,Yesterday I came across a huge snake in my back yard!
afraid,Last night I heard a weird noise outside. It really scored my wife and I.
afraid,"I had decided to go visit my brother out of state by driving, but as soon as I got on the road it started snowing heavily. The farther I drove the worse the snow got, and I was unprepared for it. I was in a very rural area, hundreds of miles from a major city, and the snow started covering up the road such that I couldn't even see the lines or where the ditch started. I ended up turning back and cancelling the trip."
afraid,In a way I'm scared to show love or get close in a relationship. I mistook pity and infatuation for love and ended up being miserable. Am I gonna let that happen again? Hell no
afraid,The power got cut randomly at our house in the middle of the night. No storms near by or anything. I was really worried something had happened!
afraid,My wife and I have been quite scared lately. There has been a rash of burglaries and robberies in our neighborhood lately and some have involved violence against the home owners!
afraid,I have been watching a new show. I am afraid to watch the new episode
afraid,I got lost when I 8 at the county gfair. I was looking every where for my mom and could not find her I sated crying and didn't no what to do.
afraid,Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.
afraid,A man was chasing after me because I did not give him money. I was scared for my life.
afraid,I'm scared my car may be on it's last legs. It keeps overheating on me and I don't understand anything about cars.
afraid,My son has been having stomach pain for months now and the doctors can't figure out what it is. They basically say he has to get worse for them to find a diagnosis if some new problem comes up. I'm so scared.
afraid,I think i will lose my teeth and its shaking
afraid,I am frightened that i will lose my job.
afraid,"I really do not like water, I can't swim."
afraid,I'm so scared of bugs
afraid,I am so scared of my dog dying.
afraid,I'm scared because both of my parents will not be with me too much longer.
afraid,I heard a noise outside my window last night that sounded like someone tapping on the window. I was terrified. It turned out to be a bird on a tree limb.
afraid,My daughter screamed because there was a humongous spider on the kitchen floor. It turned out to be a pretty small one.
afraid,A wasp was in my room this morning.
afraid,"I've recently visited a 800 year old city, the architecture there is so beautiful."
afraid,"I saw this scary movie the other day, and it completely freaked me out!"
afraid,I really do no like worms.
afraid,I was at the park today and almost stepped on a rattle snake. I almost jumped out of my skin.
afraid,when the lightening hit near my house and we had a storm
afraid,Not long ago we had a storm that was horrible. Couldn't even see 5 feet outside the windows. The next thing we know all of our phones went off telling us to seek shelter while a tornado went by.
afraid,when someone was pounding on my door hard
afraid,I was so afraid to go to sleep when I was a kid. I thought monsters were under the bed.
afraid,"i have to go out of town, i am not looking forward to flying"
afraid,We are relocating for my husband's work. I'm excited but scared
afraid,My ex is coming over to talk. I'm scared that he wants to make up. I don't
afraid,I went to a haunted house.
afraid,"I am scared Carson Wentz will never be the same after his injury, it was brutal"
afraid,School is starting up soon and I'm worried I may not be able to keep up with all of the homework.
afraid,I was worried that I wouldn't make it to the bank in time to make my deposit. I didn't want my checks to bounce.
afraid,i was scared yesterday when i was home alone
afraid,I am sitting in my house right now. The power just went out because of this big storm!
afraid,I just finished cleaning out my a/c condensor. But I'm worried I might have cut one of the electric linies
afraid,i was scared walking home yesterday
afraid,"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live"
afraid,I was in a car accident.
afraid,I'm going to an amusement park tomorrow. I don
afraid,I was walking home alone one night in a bad part of town and I thought I was going to get robbed. I was scared!
afraid,I am going to try my grandmas recipe for dressing today. I am scaerd I won't do it justice.
afraid,scared that my daughter will grow up and be bad
afraid,I dont like uncertainty. I like to know what is going to happen.
afraid,I saw a neighborhood report that someone is breaking into houses and watching people sleep. Creepy! I want to buy a million locks.
afraid,"The first time I saw the move ""The Ring"" I was afraid to go home to an empty apartment!"
afraid,when i was going for an interview i had a crazy feeling
afraid,i felt scared walking home alone the other day.
afraid,i thought someone was breaking i
afraid,I get scared walking around my neighborhood. I dont unless I really have to
afraid,I hated waiting each day to see if a college acceptance letter came in
afraid,I was in a car accident one time. I could see the other car coming at me before the impact.
afraid,i get this situation in midnight
afraid,I have been watch thing new stephen king series on hulu. It is frighteneing.
afraid,My dog pooped on the rug today. I am so scared to pick it up.
afraid,I hate bugs and insects so much. I've called pest control but I still have them everywhere in my house. I'm so scared of them crawling around all the time...
afraid,i was scared going home alone the other night
afraid,I went to the store. When I got there the place was being robbed!
afraid,I was waiting in front of a store one day when a man approached me and whispered something scary in my ear. I was not pleased.
afraid,"I do not like being around cats, they scare me."
afraid,I am scared of Trump right now.
afraid,the first time i got on the rattler
afraid,I do not like the dark.
afraid,"Ten years ago now, a massive hurricane forced my family to evacuate. I didn't know if there would be anything to come back to."
afraid,OMG I was so scared. There was a ghost in my bedroom.
afraid,One time i heard someone outside my window.
afraid,There was a giant spider in my bathroom. I hate spiders!
afraid,I was really frightened the other night. I was home alone and there was a big storm.
afraid,Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.
