layer,prompt_context,utterance_context,mean_similarity,is_within_context
2,afraid,afraid,0.9990346084442079,True
2,afraid,angry,0.9989072772838467,False
2,afraid,anxious,0.9991069183947929,False
2,afraid,devastated,0.9961024379186448,False
2,afraid,lonely,0.9991286743208315,False
2,afraid,sad,0.9990298553986325,False
2,afraid,terrified,0.9990318057336308,False
2,afraid,furious,0.9990020995605717,False
2,afraid,grateful,0.9989390402160421,False
2,afraid,hopeful,0.9990325261348413,False
2,afraid,faithful,0.9990101636339441,False
2,angry,afraid,0.9989024558746079,False
2,angry,angry,0.9987989423196425,True
2,angry,anxious,0.9989775373008992,False
2,angry,devastated,0.9959876531535252,False
2,angry,lonely,0.9990084395217246,False
2,angry,sad,0.9989108598546554,False
2,angry,terrified,0.9989003426497497,False
2,angry,furious,0.9988947776702102,False
2,angry,grateful,0.998827890070357,False
2,angry,hopeful,0.998913332117155,False
2,angry,faithful,0.9988954516360864,False
2,anxious,afraid,0.99889166124854,False
2,anxious,angry,0.9987736014916769,False
2,anxious,anxious,0.9989908602340205,True
2,anxious,devastated,0.995975350606829,False
2,anxious,lonely,0.9989969154698858,False
2,anxious,sad,0.9988953020717177,False
2,anxious,terrified,0.9988878161488847,False
2,anxious,furious,0.9988701294282794,False
2,anxious,grateful,0.9988254368654467,False
2,anxious,hopeful,0.9989259222745277,False
2,anxious,faithful,0.9988930128198957,False
2,devastated,afraid,0.9988802188029784,False
2,devastated,angry,0.9987710320881044,False
2,devastated,anxious,0.9989539724381928,False
2,devastated,devastated,0.9959842996648547,True
2,devastated,lonely,0.9989952932113316,False
2,devastated,sad,0.9989019719805463,False
2,devastated,terrified,0.9988769341243026,False
2,devastated,furious,0.9988627923958833,False
2,devastated,grateful,0.9988114093240278,False
2,devastated,hopeful,0.9988926209890168,False
2,devastated,faithful,0.9988747496903779,False
2,lonely,afraid,0.9990646349414667,False
2,lonely,angry,0.9989407082644287,False
2,lonely,anxious,0.9991508740764053,False
2,lonely,devastated,0.9961038521310296,False
2,lonely,lonely,0.9991957996328896,True
2,lonely,sad,0.999081100230013,False
2,lonely,terrified,0.9990519418329582,False
2,lonely,furious,0.9990229073276667,False
2,lonely,grateful,0.9989541784608107,False
2,lonely,hopeful,0.9990742613154946,False
2,lonely,faithful,0.9990578049202202,False
2,sad,afraid,0.9991961702255073,False
2,sad,angry,0.9990679621002241,False
2,sad,anxious,0.999281646126866,False
2,sad,devastated,0.9962254337358918,False
2,sad,lonely,0.9993084760370752,False
2,sad,sad,0.9992157876248114,True
2,sad,terrified,0.999184263377569,False
2,sad,furious,0.9991460663101709,False
2,sad,grateful,0.9990676008115059,False
2,sad,hopeful,0.999199616305698,False
2,sad,faithful,0.9991721135916579,False
2,terrified,afraid,0.9985449894669233,False
2,terrified,angry,0.9984440850878146,False
2,terrified,anxious,0.9986025993488936,False
2,terrified,devastated,0.9957148314059566,False
2,terrified,lonely,0.9986369712702395,False
2,terrified,sad,0.9985372070417863,False
2,terrified,terrified,0.9985569197415256,True
2,terrified,furious,0.998559603185087,False
2,terrified,grateful,0.9985342346113968,False
2,terrified,hopeful,0.9985570440758241,False
2,terrified,faithful,0.9985434952450183,False
2,furious,afraid,0.998838618255297,False
2,furious,angry,0.9987421607857592,False
2,furious,anxious,0.9989065396540835,False
2,furious,devastated,0.9959634517355169,False
2,furious,lonely,0.9989411123731574,False
2,furious,sad,0.9988439985990073,False
2,furious,terrified,0.9988437170004416,False
2,furious,furious,0.998848019347521,True
2,furious,grateful,0.998796642722774,False
2,furious,hopeful,0.998850907011867,False
2,furious,faithful,0.9988347114346194,False
2,grateful,afraid,0.9986948835215164,False
2,grateful,angry,0.9985971517985814,False
2,grateful,anxious,0.99878296915544,False
2,grateful,devastated,0.9958211614043746,False
2,grateful,lonely,0.998816348457436,False
2,grateful,sad,0.9987107438233556,False
2,grateful,terrified,0.998694385640123,False
2,grateful,furious,0.9986995212296277,False
2,grateful,grateful,0.9986772509070546,True
2,grateful,hopeful,0.9987367078587805,False
2,grateful,faithful,0.998715698430118,False
2,hopeful,afraid,0.9991038713152619,False
2,hopeful,angry,0.9989758435638072,False
2,hopeful,anxious,0.9992049251247187,False
2,hopeful,devastated,0.9961367343065285,False
2,hopeful,lonely,0.9992080219819703,False
2,hopeful,sad,0.9991121607533398,False
2,hopeful,terrified,0.9990886540025599,False
2,hopeful,furious,0.9990594370854508,False
2,hopeful,grateful,0.998998026768042,False
2,hopeful,hopeful,0.9991433330476819,True
2,hopeful,faithful,0.9990991667446171,False
2,faithful,afraid,0.9987352220739433,False
2,faithful,angry,0.9986305001895823,False
