emotion,idx,prompt,first_utterance
afraid,0,I think I'm catching a cold_comma_ I hope it's nothing serious.,I think I'm catching a cold_comma_ I hope it's nothing serious.
afraid,1,I was scared of the spider in my bathroom.,I was scared of the spider in my bathroom.
afraid,2,I managed to spook myself in college by watching a little too much horror while living alone.,I managed to spook myself really bad once watching too many horror movies and being in a house alone by the woods.
afraid,3,someone breaking in,i think someone is breaking into my apartment right now
afraid,4,I was terrified when i went to watch the conjuring movie in the theatres. i went at night and alone as well.,i was so scared when i went to watch the conjuring movie in the theatres
afraid,5,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.
afraid,6,I am going to rock climbing for the first time this weekend and I do not like heights,So I was finally convinced to try rock climbing this weekend for the first time. I do not like heights at all.
afraid,7,One time when I was little_comma_ I was scared of going to sleep without a night light,One time when I was little_comma_ I was scared of going to sleep without a night light
afraid,8,I have a big job interview coming up. I am so nervous I almost dont want to go.,I have a big job interview coming up. I am so nervous I almost dont want to go. Its kind of scary to think about.
afraid,9,My mom is having weight loss surgery. Im worried the risks are too dangerous.,My mom is having weight loss surgery next week_comma_ I'm nervous.
afraid,10,I'm afraid I won't be able to afford my car payment this month. Might have to borrow money.,I'm afraid I won't be able to afford my car payment this month.
afraid,11,Scary movies.,I never watch scary movies because they bother me too much but here I am_comma_ regretting that I just watched one.
afraid,12,i was scared walking home last night,i was scared walking home last night
afraid,13,Two years ago_comma_ i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately_comma_ i am live,I felt afraid. Still i remember it
afraid,14,I was playing a VR game home alone. It took a really creepy turn.,I was playing a VR game home alone. It took a really creepy turn towards the end of the game.
afraid,15,I was a little nervous to go to Walmart today with all the police that were there.,I never did find out why there were so many police cars there today.
afraid,16,My daughter passed out one day last week.,My daughter passed out one day last week.
afraid,17,I'm never home by myself_comma_ but a few weeks ago I was. There were these men running up and down the street in our neighborhood just screaming and yelling. Turns out it was some sort of domestic issue and the police came and arrested them.,I'm never usually home by myself_comma_ but a few weeks ago I was. There were these men running up and down our street just screaming and yelling.
afraid,18,I went to a haunted house and just couldnt bring myself to step inside,The Haunted house by me is just terrifying_comma_ I could not walk in
afraid,19,I recently heard what appeared to be gunshots on my street. I locked all my doors and closed my windows.,I recently had a scary experience. I heard gunshots on my street.
afraid,20,I found a brown recluse in my room this morning (a type of poisionous spider),I found a brown recluse in my room this morning (a type of poisionous spider)
afraid,21,Anytime I see a earthworm_comma_ I run away. I am so scared of them.,Anytime I see an earthworm_comma_ I run away. I am so scored of them.
afraid,22,i fell and heard a snap in my leg.,i was walking _comma_ stepping in a hole and heard my leg snap
afraid,23,After been beaten by a mosquito last night_comma_ I am very scared of sleeping in my room,After been beaten by a mosquito last night_comma_ I am very scared of sleeping in my room
afraid,24,One time I was robbed at gun point.,Once I was robbed at gun point and locked in a walk in refrigerator for an hour.
afraid,25,One time a hurricane hit my city and it was so windy I couldn't sleep that night. I thought the wind would tear the roof off of the house,A hurricane hit my city. The first night I thought the wind was going to tear the roof off the house
afraid,26,I woke up in the middle of the night because I thought someone was trying to get in my window.,I woke up in the middle of the night.
afraid,27,Going coaster riding this weekend :/,Man we're going to the amusement park this weekend
afraid,28,When I was younger I was scared of almost any new experience...but since I've been mugged_comma_ kicked out of the house_comma_ lived homeless_comma_ been beaten up_comma_ won some street fights and become fully self-employed there's really nothing that scares me anymore,As a sheltered teenager I used to be scared of almost any new experience...but since I've been mugged_comma_ kicked out of the house_comma_ lived homeless_comma_ been beaten up_comma_ won some street fights_comma_ sparred state champions in the ring and become fully self-employed there's really nothing that scares me anymore
afraid,29,I have some skin problems. I am scared.,I have some skin problems. I am scared.
afraid,30,Lately_comma_ my two year old boy has been so much into wearing dresses and playing with babie dolls_comma_i don't even want to think of it.,Lately_comma_ my two year old boy has been so much into wearing dresses and playing with babie dolls_comma_i don't even want to think of i
afraid,31,I have been watch thing new stephen king series on hulu. It is frighteneing.,There is a new Stephen King series on hulu
afraid,32,I am afraid of clowns.,I am afraid of clowns.
afraid,33,I'm afraid to leave my current job (which I hate) because I might not be able to find work that I enjoy that pays well enough to live on.,I really_comma_ really need to leave my job because it's making me miserable_comma_ but I'm afraid to make a big change. I'm worried about financial stability for me and my kids_comma_ and nervous about leaving a known quantity for an unknown.
afraid,34,It's been so dry in my area lately _comma_ I'm afraid there might be some forest fires. I live near a mountain.,Havent had any rain lately in my area. I hope we do soon_comma_ I live near a mountain and we have bad fires when it is dry.
afraid,35,I am scared of zombies,I have a reoccurring nightmare that I am being eaten by zombies
afraid,36,I am worried about failing my exam,I am very stressed I have to take a major final exam on saturday.
afraid,37,"The first time I saw the move ""The Ring"" I was afraid to go home to an empty apartment!","The first time I watched the movie ""The Ring"" I didn't want to go home to my empty apartment I was so scared."
afraid,38,I was cleaning my garage and a huge spider crawled on to me! I am super scared of spiders!,I was cleaning my garage and a huge spider crawled on to me! I am super scared of spiders!
