context,prompt,first_utterance
afraid,i used to scare for darkness,it feels like hitting to blank wall when i see the darkness
afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.
afraid,I am concerned about the financial situation of my employer.,Hi_comma_ I am concerned about the financial situation of my employer.
afraid,I thought my company was going to have a lay off. it was a tough few weeks.,So we had a meeting at work this week. Turns out we may have to shut down in the next few months.
afraid,I was lost in a neighborhood I didn't know_comma_ when some guy came up to me and quietly asked if I needed a ride.,I was lost in a neighborhood I didn't know_comma_ when some guy came up to me and quietly asked if I needed a ride.
afraid,I got pulled over and almost got a ticket.,So last night a cop pulled me over.
afraid,I once saw a snake in the woods and got very scared.,I was in the woods and a snake came out of no where.
afraid,There was once a mouse in my  kitchen. I almost died.,One time there was a large mouse in my kitchen.
afraid,Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.,There was a big storm here last week.
afraid,when my daughter choked on a piece of food,The other day during breakfast my daughter started choking and I panicked.
afraid,When I was little_comma_ I was afraid of the dark.,I use to hate the dark when I was little.
afraid,I am afraid of clowns.,I am afraid of clowns.
afraid,When I lost my job.,I recently lost my job_comma_ and am having trouble finding another one.
afraid,I am scared of how I will die.,I am scared of how I will die.
afraid,When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch_comma_ I was very scared,Hi! One time when driving on fresh snow I almost wiped out into a ditch_comma_ that scared me
afraid,It's been so dry in my area lately _comma_ I'm afraid there might be some forest fires. I live near a mountain.,Havent had any rain lately in my area. I hope we do soon_comma_ I live near a mountain and we have bad fires when it is dry.
afraid,When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age,I was chased by a pitbull as a child_comma_ I was so scared for years afterwards
afraid,Last night_comma_ I dreamt that I was riding around the road on a motorcycle_comma_ and at one point almost fell of making a quick sharp turn.,Last night_comma_ I had ths crazy realistic dream that I was riding around on a motorcycle. At one point_comma_ I hit a quick sharp turn_comma_ and felt like I nearly had just fell off. It was so realistic and frightening.
afraid,I am afraid of the upcoming economic crisis in the USA,I am afraid of the upcoming economic crisis in the USA.It will affect all of us.
afraid,I was once was very nervous and scared when I thought my girlfriend was pregnant. Waiting to find out was what got me so scared. I found out that she wasn't and everything was okay.,I thought my girlfriend was pregnant recently.
afraid,I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,I am old and in good health_comma_ but death is around the corner.
afraid,I am very scared of the ocean.,I hate the ocean. I am very scared.
afraid,I was scared when I was on a vacation to Mexico_comma_ after hearing about the crime there.,I took a vacation to Mexico_comma_ but was scared to go anywhere because of the crime in the area.
afraid,Our home was broken in to 2 months after we purchased it.,Have you ever been a victim of a home break in?
afraid,Our youngest daughter fell down our back stairs and hit her head on the bottom step.  She started throwing up about an hour later and we went to the ER.,Our youngest daughter fell down our back stairs when she was about 4 and hit her head.
afraid,I had to investigate a noise coming from my  backyard at night.,Turns out it was a deer who got stuck in the bushes.
afraid,One time I was robbed at gun point.,Once I was robbed at gun point and locked in a walk in refrigerator for an hour.
afraid,One time me and my friends went to the movies and one of them ate some edibles (weed) and started to panic. I got really worried that something might be wrong but he was just too high and we just waited until he was more sober after we left the movie early.,Me and some friends went to the movies one time and one of them started to panic in the theater. It really scared me until I realized why.
afraid,One time i got stuck in a storm and was scared i might get swept away,i almost got swept away in a storm last year_comma_ was scary stuff
afraid,I was alwals terrified about the unknown,Some stories terrifies me
afraid,I was in a neighbors house when they weren't there (I had a key) which was not uncommon. I heard voices and felt like there was a ghost in the house_comma_,I was in a neighbors house when they weren't there (I had a key) which was not uncommon. I heard voices and felt like there was a ghost in the house.
afraid,One night_comma_ I was just done reading some really scary stories and my door suddenly opened on its own. Upon closer inspection it was my cat opening it since it wasn't completely closed.,One night I just got done reading some really scary stories and what made it worse is that my door opened seemingly on its own not long after!
afraid,once upon a time i am go for the market at that time one man for very hungry because some food for provide the man .,hi
afraid,i get this situation in midnight,i get the horror situation in midnight
afraid,Some movies can be terrifying,Movies about vampires terrifies me a lot
afraid,I felt scared when I had to go to the doctor to have a lump checked out on my side. I thought it was going to be for the worse.,I was scared when I had to go to the doctor for a lump on my side. I was really expecting the worst.
afraid,I had a dear friend end up the hospital after getting into a bicycling accident. It was a scary time.,My friend ended up in the hospital after an accident a few weeks ago_comma_ there was a period of time they didn't know if he'd make it.
afraid,While working at a restaurant I was robbed,While working at a restaurant I was robbed
afraid,I have been watch thing new stephen king series on hulu. It is frighteneing.,There is a new Stephen King series on hulu
afraid,I went to the circus once_comma_ and the clowns were there. I am terrified of clowns.,I am terrified of clowns. I shouldn't of gone to the circus.
afraid,I do not like the dark.,I do not like the dark._comma_
afraid,I went to a haunted house.,I went with my sister and cousins. The experience was frightening but exciting at the sametime.
afraid,Earlier a guy cut me off on the road_comma_ he was driving a box truck and I saw my life flash before my eyes.,You won't believe this_comma_ a guy in a box truck cut me off earlier and ran me off the road!
afraid,I was home alone and someone was in the carport looking in a window,I was home alone and someone was in the carport looking in a window
afraid,I saw a shark in the water last week.,I saw a shark in the water last week.
afraid,I saw a spider and i got scared.,I saw a spider and i got scared
afraid,One time when i was younger i saw a spooky face in my room. i never knew what it was after that night i am still kind of scared even today.,So when i was a kid i had this creepy face look at me in my room at night.
afraid,I was passenger in a bad car crash and the car rolled! I thought I was going to die!,I was riding passenger in a car that actually rolled over!
afraid,There's been noise at my door every night at the same time. I check and there isn't anything.,There's been noise at my door every night at the same time. I check and there isn't anything.
afraid,My friend hasnt been feeling well lately.,My friend hasnt been feeling well lately.
afraid,Yesterday_comma_ I was crossing the street and the person in front of me was hit by car which didn't stop at the red light,Yesterday_comma_ I was crossing the street and the person in front of me was hit by car which didn't stop at the red light
afraid,I was afraid the other night when gunshots went off,I was scared the other night when I heard several gunshots in a row.
afraid,I finally saw the movie with that scary Japanese girl with white skin. I now believe I can't sleep without the lights on lol.,I finally saw that one scary movie my friends were talking about. I can't sleep without the lights on.
afraid,I was really scared once when I thought I would be homeless,I thought I would be homeless once and I was having a major panic attack. I was minutes from being homeless.
afraid,I used to be afraid of the dark. I had a nightlight until i was 13,I used to be afraid of the dark. I had a nightlight until i was 13
afraid,Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class_comma_ or I don't know what I'll do.,Wasn't able to register for one of the classes I need to be on track to graduate in my last year of college. Have to contact the school and see if they'll be able to make an exception and squeeze me into a full class_comma_ or I don't know what I'll do.
afraid,afraid that my daughter will be bullied,I really hope my daughter doesnt get bullied in school.. its so bad now..
afraid,I keep hearing things in my kitchen. I think the mouse is back.,I think there is a mouse in my kitchen. I keep hearing squeaking noises at night.
afraid,of getting older. getting sick!,I know I shouldnt be scared this young of death but I am.
afraid,I would like to try skydiving.,I would love to try skydiving. I am so afraid of heigh.
afraid,I was wondering around a abandon building once. I started to hear banging and crawling in the walls. I couldn't move a inch.,So i was exploring some abandon buildings one day.
afraid,I had to get my foot checked out at the doctor_comma_ always makes me scared going there.,I had to get my foot checked out at the doctor_comma_ always makes me scared going there.
afraid,I am so scared.  I think I just heard a ghost in the other room.,I am so scared! LOL.  I think I just heard a ghost coming from the other room here.
afraid,I haven't watched a horror in so long_comma_ but my friend wants to watch one.,I haven't watched a horror in so long_comma_ but my friend wants to watch one
afraid,My husband is out of town and my friends talked me into going to a scary movie with them. I have not been able to sleep since then. I cannot wait until my husband gets back.,My husband is out of town and my friends talked me into going to a scary movie with them the other night.
afraid,My brother is in the hospital and is very sick. I am very scared,My brother is in the hospital and is very sick. I am very scared
afraid,I think my husband is cheating. I'm afraid to find out though.,I Think my husband is cheating but I'm scared to investigate.
afraid,I was afraid when my kids were out of town without me,I was afraid when my kids were out of town without me
afraid,I do not like being around bats.,I do not like being around bats.
afraid,I really do no like worms.,I really do like worms.
afraid,I don't think I'm going to do so well this semester.,Im not excited about this semester at all.
afraid,I think a mouse is in my kitchen again.,I am so scared of mice.
