context,prompt,first_utterance
afraid,i was scared to walk home alone yesterday,i was scared to walk home alone yesterday
afraid,I am too scared to go to the Halloween party. I might freak out at some of the costumes.,I am freaking out about this Halloween party I was invited to. I hate the thought of scary costumes!
afraid,I once saw a snake in the woods and got very scared.,I was in the woods and a snake came out of no where.
afraid,"When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.","When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost."
afraid,"I was walking around my mansion at night one cold day in October. I then heard spooky sounds, and saw the ghost of Michael Jackson.","Some times at night, I can hear some shouting ""AHHHHHHH"", ""HEE HEE""."
afraid,Last week I got bit by a spider.,A tarantula bit me in my living room the other day and I thought I was going to die.
afraid,I'm afraid of the dark,I know i'm an adult but I'm very scared of the dark. i have a good imagination so i always see something creepy
afraid,"the braves are really good, i am hoping they dont blow it",the braves are reallly good i hope they dont blow it
afraid,I just saw this horror movie. It was so scary.,"I just watched this horror film, it was so scary!"
afraid,I really have a fear of germs.,I really have a fear of germs.
afraid,i was scared walking home alone last night,i was scared walking home alone last night
afraid,I am so scared. I think I just heard a ghost in the other room.,I am so scared! LOL. I think I just heard a ghost coming from the other room here.
afraid,There was a dog outside my house the other night just howling at my window. I don't own a dog and I'm on my own 3 acres of land.,I heard this god awful howling the other night at like 2am right outside my window
afraid,living out in the country when it gets dark it's really hard to see what's going on around you at nite,living out in the country when it gets dark it's really hard to see what's going on around you at nite
afraid,I have a solo trip coming up. I'm going to Colorado to clim Mt. Elbert Solo,I have a solo trip coming up. I'm going to Colorado to climb Mt. Elbert Solo. It's the tallest mountain in the united states.
afraid,"Last fall, I went to a haunted house. The chainsaw guy chased me. I was so scared",Last year my friends made me go to a haunted house and they all laughed at me afterwards
afraid,I was bungee jumping for the first time last weekend. I am not good with heights,I went bungee jumping this last weekend for the first time. I am not so good with heights.
afraid,I have a test coming up soon,I have a test coming up soon
afraid,I was scared when this random guy walked into my room,"Some random dude walked into my room while I was laying down, couldn't have been more weird"
afraid,There was a strange sound coming from outside my window last night and I was so scared!,Last night there was a really strange animal screaming outside my window in the middle of the night
afraid,when i had to hold a spider,My friend has a pet spider and they made me hold it the other day.
afraid,I lost my wallet while out shopping. It took hours to find it.,"I was out shopping with my wife the other day, and I lost my wallet. It was so nerve racking to not know what happened to it."
afraid,I am just in from finishing my college exam. I am hoping that I passed.,I just finished my college exam to see if I pass.
afraid,I do not like being in small spaces.,I do not like being in small spaces.
afraid,i was scared to walk home the other day,i was scared to walk home the other day
afraid,My crush keeps hanging out with a new guy classmate a lot lately.,My crush keeps hanging out with a new guy classmate a lot lately
afraid,I was on a trip and fell asleep while driving. When I woke up there was an 18 wheeler stopped in front of me.,I was on a trip and fell asleep while driving. When I woke up there was an 18 wheeler stopped in front of me
afraid,They laid off 3 people at work yesterday. Still haven't mentioned it yet.,They laid off 3 people at work yesterday. Still haven't mentioned it yet.
afraid,"Due to recent debt that I have accumulated through credit cards, my credit score has seen a significant decline. I am very concerned it might impact my credit trustworthiness",Recent debt accumulation had my credit score see a significant decline. I am afraid it would hurt my chances of applying for a new credit card
afraid,I have a huge phobia of roaches. I can handle almost any kind of crawling or flying bug except them.,"I can handle, bees, scorpions, wasps, crickets, and spiders. But for some reason I lose my mind around roaches."
afraid,of dying,I am terrified of death.
afraid,im worried about an upcoming test,im worried about an upcoming test
afraid,I've got a pet hamster that hasn't been doing well. I'm scared that he might not live much longer.,"I have an adorable hamster that doesn't look like he's doing well. He is on the old side for hamsters, and I'm worried he won't live much longer."
afraid,when i heard someone fighting out of my apartment at night,The other night I got woke up from a noise I heard outside. I was so scared.
afraid,I'm terrified that I'm too late with something important.,I'm very worried that I'm not going to make an important goal.
afraid,I am scared of how I will die.,I am scared of how I will die.
afraid,I am afraid of spiders.,I find spiders to be extremely creepy
afraid,A few weeks ago a tire on my car blew while i was driving it on the highway.,So a few weeks ago a tire on my car blew while i was driving it on the highway.
afraid,I had to get medical tests done. And then I had to wait for the dr to call back with results,I had to get some medical tests done. Waiting for the results killed me.
afraid,"Some guys cornered me outside a bar last weekend and told me to give them my wallet or they would beat me up. I didn't know what to do, I was so scared.",I was cornered outside a bar last weekend and some guys stole my wallet! I was so scared I didn't know what to do.
afraid,i was worried when I heard my friend was in the hospital,i was worried when I heard my friend was in the hospital
afraid,I am worried about failing my exam,I am very stressed I have to take a major final exam on saturday.
afraid,"My brother went on a low-calorie diet and began shaking everyday. I was a little scared for him, but I knew he'd be fine once he changed his diet to a proper one as the doctor recommended him to.",My brother went on a low-calorie diet and began shaking everyday.
afraid,afraid of not giving too much,"i am so afraid... afraid that i am not giving too much to the world, what if i parish not having done anything?"
afraid,I saw a shark in the water last week.,I saw a shark in the water last week.
afraid,I'm really scared of going down to my basement. It's so dark down there.,I'm really scared of going down to my basement.
afraid,I think someone was following me home last night. I took off running and didnt stop until I got home.,I think someone was following me home last night. I took off running and didnt stop until I got home.
afraid,I am afraid today that my neighbor is starving his dogs. I don't know how to go about it!,I am worried that my neighbor is starving his dogs.
afraid,A couple months ago I got a text message saying that my sister was in a motorcycle accident! I was really scared she might have been seriously injured!,A couple months ago I got a text message saying that my sister was in a motorcycle accident! I was really scared she might have been seriously injured!
afraid,"It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain.","Havent had any rain lately in my area. I hope we do soon, I live near a mountain and we have bad fires when it is dry."
afraid,I heard a knock on my door at 2 am in the morning,I was afraid
afraid,My friends and I watched a horror movie and I kept trying to hide my face away from the screen because it was too scary!,My friends and I watched a horror movie and I kept trying to hide my face away from the screen because it was too scary!
afraid,i fell and heard a snap in my leg.,"i was walking , stepping in a hole and heard my leg snap"
afraid,There have been so many crimes near me lately. It is getting out of hand,There is so much crime near me its getting ridiculous
afraid,"When I was little, I was afraid of the dark.",I use to hate the dark when I was little.
afraid,I was passenger in a bad car crash and the car rolled! I thought I was going to die!,I was riding passenger in a car that actually rolled over!
